Date,Campaign,Channel,Impressions,Clicks,Conversions,Spent_EUR,Product_Category
2024-02-01,Winter_Sale,Email,50000,2500,250,500,Electronics
2024-02-01,Winter_Sale,Facebook,80000,3200,480,1200,Electronics
2024-02-01,Flash_Deal,Instagram,45000,3600,540,900,Clothing
2024-02-02,Winter_Sale,Email,52000,2600,312,520,Home
2024-02-02,New_Arrival,Google,120000,4800,720,2400,Electronics
2024-02-02,Flash_Deal,Facebook,60000,3600,540,1000,Clothing
2024-02-03,Winter_Sale,Instagram,75000,3750,600,1500,Home
2024-02-03,New_Arrival,Email,48000,1920,230,480,Beauty
2024-02-03,Flash_Deal,Google,90000,5400,810,1800,Clothing
2024-02-04,Winter_Sale,Facebook,70000,3500,490,1050,Electronics
2024-02-04,New_Arrival,Instagram,65000,3900,585,1300,Beauty
2024-02-04,Special_Offer,Email,40000,2000,260,400,Home
2024-02-05,New_Arrival,Facebook,85000,4250,595,1700,Electronics
2024-02-05,Special_Offer,Google,75000,4500,675,1500,Beauty
2024-02-05,Flash_Deal,Instagram,55000,4400,660,1100,Clothing
2024-02-06,Winter_Sale,Email,60000,3000,360,600,Home
2024-02-06,Special_Offer,Facebook,50000,3000,450,1000,Beauty
2024-02-06,New_Arrival,Google,110000,5500,825,2200,Electronics
2024-02-07,Flash_Deal,Email,42000,2520,403,840,Clothing
2024-02-07,Special_Offer,Instagram,68000,4080,612,1360,Beauty
